Date,Symbol,High,Low,Open,Close,Volume
2022-01-03,ATNF,78.80000305175781,74.4000015258789,77.4000015258789,75.4000015258789,24135
2022-01-04,ATNF,79.19999694824219,74.18000030517578,77.0,78.0,18535
2022-01-05,ATNF,80.72000122070312,70.19999694824219,76.5999984741211,72.0,32370
2022-01-06,ATNF,75.4000015258789,67.5999984741211,73.19999694824219,68.19999694824219,18600
2022-01-07,ATNF,70.80000305175781,64.5199966430664,68.0,66.0,27275
2022-01-10,ATNF,67.80000305175781,62.20000076293945,65.4000015258789,66.80000305175781,23300
2022-01-11,ATNF,67.4000015258789,64.19999694824219,66.19999694824219,65.4000015258789,14160
2022-01-12,ATNF,66.80000305175781,64.13999938964844,65.5999984741211,65.0,8065
2022-01-13,ATNF,65.0,55.91999816894531,65.0,59.400001525878906,51805
2022-01-14,ATNF,61.20000076293945,58.20000076293945,59.79999923706055,60.79999923706055,13225
2022-01-18,ATNF,60.20000076293945,54.400001525878906,60.0,55.20000076293945,22320
2022-01-19,ATNF,59.79999923706055,54.68000030517578,55.400001525878906,57.900001525878906,16885
2022-01-20,ATNF,59.599998474121094,49.400001525878906,57.400001525878906,52.0,36940
2022-01-21,ATNF,53.29999923706055,50.20000076293945,52.400001525878906,51.79999923706055,24570
2022-01-24,ATNF,51.20000076293945,45.0,51.20000076293945,50.79999923706055,27390
2022-01-25,ATNF,51.79999923706055,48.599998474121094,49.79999923706055,50.599998474121094,8165
2022-01-26,ATNF,59.20000076293945,53.0,53.0,53.20000076293945,25105
2022-01-27,ATNF,57.599998474121094,50.79999923706055,52.400001525878906,51.20000076293945,20110
2022-01-28,ATNF,54.68000030517578,50.599998474121094,52.20000076293945,53.400001525878906,22105
2022-01-31,ATNF,57.400001525878906,53.599998474121094,55.0,57.20000076293945,17300
2022-02-01,ATNF,69.19999694824219,58.0,58.79999923706055,65.5,89650
2022-02-02,ATNF,65.22000122070312,60.279998779296875,65.0,62.400001525878906,23095
2022-02-03,ATNF,68.4000015258789,58.68000030517578,60.599998474121094,68.0,29505
2022-02-04,ATNF,68.80000305175781,64.5999984741211,67.19999694824219,67.0,14060
2022-02-07,ATNF,68.86000061035156,62.0,67.4000015258789,63.0,15175
2022-02-08,ATNF,64.5999984741211,62.0,62.400001525878906,62.79999923706055,8040
